year,week,date,target_year,target_week,target,age_now,age_target_week_last_year,age_roll4_mean,rain_mean_mm,rain_source_is_dhm,horizon,pred,champion,base_persistence,base_seasonal_naive,base_seasonal_plus_drift,base_4week_rolling_mean,pred_single
2024,1,2024-01-14,2024.0,4.0,123.0,211.0,202.0,193.5,0.0,0.0,3,191.60652955053467,Ensemble top-30,211.0,202.0,202.0,193.5,142.50433349609375
2024,2,2024-01-21,2024.0,5.0,214.0,203.0,258.0,202.75,0.0,0.0,3,194.88525869050744,Ensemble top-30,203.0,258.0,258.0,202.75,134.4249267578125
2024,3,2024-01-28,2024.0,6.0,209.0,191.0,235.0,205.25,0.0,0.0,3,210.75567536988083,Ensemble top-30,191.0,235.0,235.0,205.25,225.48968505859375
2024,5,2024-02-11,2024.0,8.0,282.0,214.0,289.0,182.0,0.0,0.0,3,275.8047137912388,Ensemble top-30,214.0,289.0,278.2551282051282,182.0,279.82659912109375
2024,6,2024-02-18,2024.0,9.0,309.0,209.0,320.0,182.75,0.7733645660381174,0.0,3,298.8313156310441,Ensemble top-30,209.0,320.0,315.70057581573894,182.75,276.97930908203125
2024,22,2024-06-09,2024.0,25.0,677.0,658.0,446.0,699.75,40.13289951107746,0.0,3,499.7586348616147,Ensemble top-30,658.0,446.0,446.0,699.75,441.8961791992187
2024,23,2024-06-16,2024.0,26.0,624.0,731.0,461.0,701.5,22.617401806816886,0.0,3,567.0979629470241,Ensemble top-30,731.0,461.0,461.0,701.5,583.6632080078125
2024,24,2024-06-23,2024.0,27.0,554.0,697.0,414.0,710.25,70.44758232035466,0.0,3,530.6441493399365,Ensemble top-30,697.0,414.0,414.0,710.25,571.4303588867188
2024,25,2024-06-30,2024.0,28.0,559.0,677.0,457.0,694.0,280.0292712769297,0.0,3,519.9368281854621,Ensemble top-30,677.0,457.0,457.0,694.0,555.9820556640625
2024,26,2024-07-07,2024.0,29.0,603.0,624.0,430.0,690.75,172.91418329198115,0.0,3,509.9610092673633,Ensemble top-30,624.0,430.0,591.7021276595744,690.75,540.0350952148438
2024,27,2024-07-14,2024.0,30.0,626.0,554.0,473.0,682.25,90.13049184506546,0.0,3,505.2589991433844,Ensemble top-30,554.0,473.0,639.3296703296703,682.25,523.6339721679688
2024,28,2024-07-21,2024.0,31.0,667.0,559.0,438.0,638.0,66.77295222530377,0.0,3,488.9907313538385,Ensemble top-30,559.0,438.0,589.2077824893989,638.0,526.1466064453125
2024,29,2024-07-28,2024.0,32.0,622.0,603.0,360.0,603.5,61.04608380331905,0.0,3,476.39367795112054,Ensemble top-30,603.0,360.0,480.6791870337021,603.5,526.69970703125
2024,31,2024-08-11,2024.0,34.0,457.0,667.0,347.0,585.5,158.58217265495406,0.0,3,477.1407346213205,Ensemble top-30,667.0,347.0,465.02034883720927,585.5,565.6190185546875
2024,32,2024-08-18,2024.0,35.0,547.0,622.0,421.0,613.75,99.18278382910728,0.0,3,503.87424989019956,Ensemble top-30,622.0,421.0,580.701652892562,613.75,564.6995239257812
2024,33,2024-08-25,2024.0,36.0,463.0,551.0,364.0,629.5,20.24201505379231,0.0,3,483.71693620905813,Ensemble top-30,551.0,364.0,516.0241448692152,629.5,516.4804077148438
2024,34,2024-09-01,2024.0,37.0,536.0,457.0,295.0,616.5,33.808004123235094,0.0,3,376.465986245353,Ensemble top-30,457.0,295.0,295.0,616.5,443.8177490234375
2024,35,2024-09-08,2024.0,38.0,399.0,547.0,322.0,574.25,32.76203719739054,0.0,3,413.8464687618673,Ensemble top-30,547.0,322.0,322.0,574.25,522.1605224609375
2024,36,2024-09-15,2024.0,39.0,374.0,463.0,295.0,544.25,38.103015356796234,0.0,3,366.440970598098,Ensemble top-30,463.0,295.0,295.0,544.25,455.3257141113281
2024,37,2024-09-22,2024.0,40.0,352.0,536.0,260.0,504.5,15.354331579658703,0.0,3,344.33909757551487,Ensemble top-30,536.0,260.0,260.0,504.5,388.7470397949219
2024,38,2024-09-29,2024.0,41.0,270.0,399.0,211.0,500.75,276.55679912899444,0.0,3,278.8001710200579,Ensemble top-30,399.0,211.0,211.0,500.75,344.1040344238281
2024,39,2024-10-06,2024.0,42.0,350.0,374.0,170.0,486.25,23.98298102395857,0.0,3,251.1264164868207,Ensemble top-30,374.0,170.0,170.0,486.25,305.8817138671875
2024,40,2024-10-13,2024.0,43.0,286.0,352.0,198.0,443.0,0.4092676069436202,0.0,3,263.6253383504718,Ensemble top-30,352.0,198.0,198.0,443.0,304.627197265625
2024,41,2024-10-20,2024.0,44.0,316.0,270.0,134.0,415.25,13.330715136277822,0.0,3,200.0658381163929,Ensemble top-30,270.0,134.0,134.0,415.25,187.5871734619141
2024,42,2024-10-27,2024.0,45.0,290.0,350.0,134.0,348.75,0.3998615440359673,0.0,3,218.71554768386852,Ensemble top-30,350.0,134.0,181.0465208747515,348.75,293.63568115234375
2024,43,2024-11-03,2024.0,46.0,255.0,286.0,138.0,336.5,0.0028890409183684,0.0,3,209.11435262012597,Ensemble top-30,286.0,138.0,194.25064157399487,336.5,281.23699951171875
2024,44,2024-11-10,2024.0,47.0,277.0,316.0,194.0,314.5,0.3794969664539472,0.0,3,243.9128911233262,Ensemble top-30,316.0,194.0,277.9290780141844,314.5,262.1583251953125
2024,46,2024-11-24,2024.0,49.0,273.0,255.0,174.0,310.5,0.0,0.0,3,220.53577786828652,Ensemble top-30,255.0,174.0,266.1473317865429,310.5,231.6348114013672
2024,47,2024-12-01,2024.0,50.0,271.0,277.0,193.0,286.75,0.0,0.0,3,236.94767655108498,Ensemble top-30,277.0,193.0,312.43441558441555,286.75,255.3502960205078
2024,48,2024-12-08,2024.0,51.0,238.0,295.0,201.0,284.5,0.0,0.0,3,252.2984252620357,Ensemble top-30,295.0,201.0,334.6740792216817,284.5,272.1252746582031
2024,49,2024-12-15,2024.0,52.0,316.0,273.0,206.0,279.25,0.0,0.0,3,240.53900632738774,Ensemble top-30,273.0,206.0,206.0,279.25,244.2550811767578
2025,15,2025-04-20,2025.0,18.0,646.0,559.0,651.0,444.75,21.258053627350577,0.0,3,593.1624126728425,Ensemble top-30,559.0,651.0,651.0,444.75,555.1166381835938
2025,16,2025-04-27,2025.0,19.0,639.0,570.0,696.0,486.0,6.6969386757757485,0.0,3,619.4961658339322,Ensemble top-30,570.0,696.0,696.0,486.0,609.1827392578125
2025,17,2025-05-04,2025.0,20.0,819.0,677.0,762.0,511.75,26.341894675392915,0.0,3,695.4168593018223,Ensemble top-30,677.0,762.0,762.0,511.75,629.8493041992188
2025,18,2025-05-11,2025.0,21.0,699.0,646.0,690.0,569.5,11.58986160498609,0.0,3,673.0227297211354,Ensemble top-30,646.0,690.0,690.0,569.5,649.001220703125
2025,19,2025-05-18,2025.0,22.0,692.0,639.0,658.0,613.0,43.68760633008741,0.0,3,654.7689823106841,Ensemble top-30,639.0,658.0,658.0,613.0,681.85107421875
