year,week,date,target_year,target_week,target,age_now,age_target_week_last_year,age_roll4_mean,rain_mean_mm,rain_source_is_dhm,horizon,pred,champion,base_persistence,base_seasonal_naive,base_seasonal_plus_drift,base_4week_rolling_mean,pred_with_weather
2024,1,2024-01-14,2024.0,4.0,123.0,211.0,202.0,193.5,0.0,0.0,3,180.20935829833644,No-weather ensemble top-30,211.0,202.0,202.0,193.5,191.60652955053467
2024,2,2024-01-21,2024.0,5.0,214.0,203.0,258.0,202.75,0.0,0.0,3,195.54195472811722,No-weather ensemble top-30,203.0,258.0,258.0,202.75,194.88525869050744
2024,3,2024-01-28,2024.0,6.0,209.0,191.0,235.0,205.25,0.0,0.0,3,201.5605476467113,No-weather ensemble top-30,191.0,235.0,235.0,205.25,210.75567536988083
2024,5,2024-02-11,2024.0,8.0,282.0,214.0,289.0,182.0,0.0,0.0,3,274.261039314975,No-weather ensemble top-30,214.0,289.0,278.2551282051282,182.0,275.8047137912388
2024,6,2024-02-18,2024.0,9.0,309.0,209.0,320.0,182.75,0.7733645660381174,0.0,3,295.6554629170885,No-weather ensemble top-30,209.0,320.0,315.70057581573894,182.75,298.8313156310441
2024,22,2024-06-09,2024.0,25.0,677.0,658.0,446.0,699.75,40.13289951107746,0.0,3,501.46810832443714,No-weather ensemble top-30,658.0,446.0,446.0,699.75,499.7586348616147
2024,23,2024-06-16,2024.0,26.0,624.0,731.0,461.0,701.5,22.617401806816886,0.0,3,559.7721100003885,No-weather ensemble top-30,731.0,461.0,461.0,701.5,567.0979629470241
2024,24,2024-06-23,2024.0,27.0,554.0,697.0,414.0,710.25,70.44758232035466,0.0,3,551.4813937727105,No-weather ensemble top-30,697.0,414.0,414.0,710.25,530.6441493399365
2024,25,2024-06-30,2024.0,28.0,559.0,677.0,457.0,694.0,280.0292712769297,0.0,3,554.284453714019,No-weather ensemble top-30,677.0,457.0,457.0,694.0,519.9368281854621
2024,26,2024-07-07,2024.0,29.0,603.0,624.0,430.0,690.75,172.91418329198115,0.0,3,528.0980488495022,No-weather ensemble top-30,624.0,430.0,591.7021276595744,690.75,509.9610092673633
2024,27,2024-07-14,2024.0,30.0,626.0,554.0,473.0,682.25,90.13049184506546,0.0,3,516.1266587783228,No-weather ensemble top-30,554.0,473.0,639.3296703296703,682.25,505.2589991433844
2024,28,2024-07-21,2024.0,31.0,667.0,559.0,438.0,638.0,66.77295222530377,0.0,3,488.22501448823044,No-weather ensemble top-30,559.0,438.0,589.2077824893989,638.0,488.9907313538385
2024,29,2024-07-28,2024.0,32.0,622.0,603.0,360.0,603.5,61.04608380331905,0.0,3,464.5069137478723,No-weather ensemble top-30,603.0,360.0,480.6791870337021,603.5,476.39367795112054
2024,31,2024-08-11,2024.0,34.0,457.0,667.0,347.0,585.5,158.58217265495406,0.0,3,496.4310119469996,No-weather ensemble top-30,667.0,347.0,465.02034883720927,585.5,477.1407346213205
2024,32,2024-08-18,2024.0,35.0,547.0,622.0,421.0,613.75,99.18278382910728,0.0,3,502.6821124835436,No-weather ensemble top-30,622.0,421.0,580.701652892562,613.75,503.8742498901995
2024,33,2024-08-25,2024.0,36.0,463.0,551.0,364.0,629.5,20.24201505379231,0.0,3,467.30136755475473,No-weather ensemble top-30,551.0,364.0,516.0241448692152,629.5,483.71693620905813
2024,34,2024-09-01,2024.0,37.0,536.0,457.0,295.0,616.5,33.808004123235094,0.0,3,366.6865117103567,No-weather ensemble top-30,457.0,295.0,295.0,616.5,376.465986245353
2024,35,2024-09-08,2024.0,38.0,399.0,547.0,322.0,574.25,32.76203719739054,0.0,3,412.8437788584441,No-weather ensemble top-30,547.0,322.0,322.0,574.25,413.8464687618673
2024,36,2024-09-15,2024.0,39.0,374.0,463.0,295.0,544.25,38.103015356796234,0.0,3,370.1697236423548,No-weather ensemble top-30,463.0,295.0,295.0,544.25,366.440970598098
2024,37,2024-09-22,2024.0,40.0,352.0,536.0,260.0,504.5,15.354331579658703,0.0,3,342.3247015708031,No-weather ensemble top-30,536.0,260.0,260.0,504.5,344.33909757551487
2024,38,2024-09-29,2024.0,41.0,270.0,399.0,211.0,500.75,276.55679912899444,0.0,3,296.75742955819624,No-weather ensemble top-30,399.0,211.0,211.0,500.75,278.8001710200579
2024,39,2024-10-06,2024.0,42.0,350.0,374.0,170.0,486.25,23.98298102395857,0.0,3,245.36891758277355,No-weather ensemble top-30,374.0,170.0,170.0,486.25,251.1264164868207
2024,40,2024-10-13,2024.0,43.0,286.0,352.0,198.0,443.0,0.4092676069436202,0.0,3,261.7342087887257,No-weather ensemble top-30,352.0,198.0,198.0,443.0,263.6253383504718
2024,41,2024-10-20,2024.0,44.0,316.0,270.0,134.0,415.25,13.330715136277822,0.0,3,187.09328094561184,No-weather ensemble top-30,270.0,134.0,134.0,415.25,200.0658381163929
2024,42,2024-10-27,2024.0,45.0,290.0,350.0,134.0,348.75,0.3998615440359673,0.0,3,222.3892310893499,No-weather ensemble top-30,350.0,134.0,181.0465208747515,348.75,218.71554768386852
2024,43,2024-11-03,2024.0,46.0,255.0,286.0,138.0,336.5,0.0028890409183684,0.0,3,211.25440379362536,No-weather ensemble top-30,286.0,138.0,194.25064157399487,336.5,209.11435262012597
2024,44,2024-11-10,2024.0,47.0,277.0,316.0,194.0,314.5,0.3794969664539472,0.0,3,244.57842557308862,No-weather ensemble top-30,316.0,194.0,277.9290780141844,314.5,243.9128911233262
2024,46,2024-11-24,2024.0,49.0,273.0,255.0,174.0,310.5,0.0,0.0,3,220.6140547325002,No-weather ensemble top-30,255.0,174.0,266.1473317865429,310.5,220.53577786828652
2024,47,2024-12-01,2024.0,50.0,271.0,277.0,193.0,286.75,0.0,0.0,3,239.64778610376354,No-weather ensemble top-30,277.0,193.0,312.43441558441555,286.75,236.94767655108495
2024,48,2024-12-08,2024.0,51.0,238.0,295.0,201.0,284.5,0.0,0.0,3,253.44129742322716,No-weather ensemble top-30,295.0,201.0,334.6740792216817,284.5,252.2984252620357
2024,49,2024-12-15,2024.0,52.0,316.0,273.0,206.0,279.25,0.0,0.0,3,238.34596387860947,No-weather ensemble top-30,273.0,206.0,206.0,279.25,240.53900632738777
2025,15,2025-04-20,2025.0,18.0,646.0,559.0,651.0,444.75,21.258053627350577,0.0,3,601.2478171646616,No-weather ensemble top-30,559.0,651.0,651.0,444.75,593.1624126728425
2025,16,2025-04-27,2025.0,19.0,639.0,570.0,696.0,486.0,6.6969386757757485,0.0,3,621.2931416345407,No-weather ensemble top-30,570.0,696.0,696.0,486.0,619.4961658339322
2025,17,2025-05-04,2025.0,20.0,819.0,677.0,762.0,511.75,26.341894675392915,0.0,3,693.8062242137937,No-weather ensemble top-30,677.0,762.0,762.0,511.75,695.4168593018223
2025,18,2025-05-11,2025.0,21.0,699.0,646.0,690.0,569.5,11.58986160498609,0.0,3,665.249556298657,No-weather ensemble top-30,646.0,690.0,690.0,569.5,673.0227297211354
2025,19,2025-05-18,2025.0,22.0,692.0,639.0,658.0,613.0,43.68760633008741,0.0,3,659.09930919992,No-weather ensemble top-30,639.0,658.0,658.0,613.0,654.7689823106841
2025,20,2025-05-25,2025.0,23.0,780.0,819.0,731.0,633.0,58.746348710927165,0.0,3,724.8869079296329,No-weather ensemble top-30,819.0,731.0,731.0,633.0,715.4198934326093
2025,21,2025-06-01,2025.0,24.0,829.0,699.0,697.0,695.25,39.92450395273272,0.0,3,703.2763952307959,No-weather ensemble top-30,699.0,697.0,697.0,695.25,701.5955758661496
2025,22,2025-06-08,2025.0,25.0,760.0,692.0,677.0,700.75,36.91745418510418,0.0,3,691.9364581973042,No-weather ensemble top-30,692.0,677.0,677.0,700.75,701.1326340944781
2025,23,2025-06-15,2025.0,26.0,654.0,780.0,624.0,712.25,55.56423461559678,0.0,3,677.0622242475881,No-weather ensemble top-30,780.0,624.0,624.0,712.25,679.7955801539639
2025,24,2025-06-22,2025.0,27.0,598.0,829.0,554.0,747.5,93.11814899947764,0.0,3,648.2409258751209,No-weather ensemble top-30,829.0,554.0,554.0,747.5,636.8517967780909
2025,25,2025-06-29,2025.0,28.0,544.0,760.0,559.0,750.0,80.78616159885173,0.0,3,643.9299115337582,No-weather ensemble top-30,760.0,559.0,559.0,750.0,631.464595741859
2025,26,2025-07-06,2025.0,29.0,580.0,654.0,603.0,765.25,52.85818516683482,0.0,3,634.8553228177996,No-weather ensemble top-30,654.0,603.0,635.7411003236246,765.25,639.9241539448766
2025,27,2025-07-13,2025.0,30.0,599.0,598.0,626.0,755.75,75.15339316646109,0.0,3,610.7130327049109,No-weather ensemble top-30,598.0,626.0,664.114182475158,755.75,608.4156670740035
2025,28,2025-07-20,2025.0,31.0,554.0,544.0,667.0,710.25,88.52470591714598,0.0,3,613.7817869467683,No-weather ensemble top-30,544.0,667.0,721.1713332097164,710.25,596.9014561286225
2025,29,2025-07-27,2025.0,32.0,513.0,580.0,622.0,639.0,46.57773146774315,0.0,3,595.1008068616396,No-weather ensemble top-30,580.0,622.0,665.863583815029,639.0,585.4140857731079
2025,30,2025-08-03,2025.0,33.0,537.0,599.0,551.0,594.0,79.1333458938525,0.0,3,530.4494505168011,No-weather ensemble top-30,599.0,551.0,587.0638839898098,594.0,532.4532657101272
2025,31,2025-08-10,2025.0,34.0,500.0,554.0,457.0,580.25,75.66606658378927,0.0,3,479.82849911849695,No-weather ensemble top-30,554.0,457.0,481.60283967659234,580.25,482.5459225284054
2025,32,2025-08-17,2025.0,35.0,711.0,513.0,547.0,569.25,77.64883175851745,0.0,3,505.24926912509557,No-weather ensemble top-30,513.0,547.0,559.1264230077891,569.25,501.0827442490026
2025,33,2025-08-24,2025.0,36.0,567.0,537.0,463.0,561.5,55.15515107865848,0.0,3,495.1238891109259,No-weather ensemble top-30,537.0,463.0,450.79602595296024,561.5,490.7212547655798
2025,34,2025-08-31,2025.0,37.0,513.0,500.0,536.0,550.75,72.68089555990895,0.0,3,536.4804564430685,No-weather ensemble top-30,500.0,536.0,510.6833125260092,550.75,539.6147457350694
2025,35,2025-09-07,2025.0,38.0,371.0,711.0,399.0,526.0,35.509156217727885,0.0,3,477.5156825144062,No-weather ensemble top-30,711.0,399.0,380.5938779909463,526.0,479.5901834175802
2025,36,2025-09-14,2025.0,39.0,358.0,567.0,374.0,565.25,82.1620014232242,0.0,3,434.2677269622748,No-weather ensemble top-30,567.0,374.0,366.41018998272887,565.25,427.04282804914345
2025,37,2025-09-21,2025.0,40.0,325.0,513.0,352.0,578.75,73.57602506281972,0.0,3,403.29327729624805,No-weather ensemble top-30,513.0,352.0,353.94003527336866,578.75,391.01674259749313
2025,38,2025-09-28,2025.0,41.0,395.0,371.0,270.0,572.75,5.15014215278183,0.0,3,315.9526909888846,No-weather ensemble top-30,371.0,270.0,271.51040501230693,572.75,313.2032236311872
