year,week,date,horizon,target_year,target_week,target,rain_mean_mm,rain_max_mm,rain_std_mm,wet_days,max_daily_mm,rain_source_is_dhm,temp_c_mean,temp_c_max,humidity_pct_mean,nasa_rain_sum,age_now,age_lag1,age_lag2,age_lag3,age_lag4,age_roll4_mean,age_roll4_std,age_roll8_mean,age_diff1,age_diff2,age_now_last_year,age_yoy_ratio,rain_mean_lag1,rain_mean_lag2,rain_mean_lag3,rain_mean_lag4,rain_mean_roll3,rain_mean_roll6,max_daily_lag1,max_daily_lag2,wet_days_roll3,temp_lag1,humidity_lag1,humidity_roll3,tgt_week_of_year,tgt_sin,tgt_cos,tgt_is_monsoon,age_target_week_last_year
2021,5,2021-02-14,4,2021.0,9.0,193.0,0.0,0.0,0.0,0.0,0.0,1.0,13.78,14.32,43.021428571428565,0.08,99.0,111.0,132.0,102.0,78.0,105.75,22.36626924634504,,-12.0,-33.0,,,3.463636363636364,0.2352173913043478,0.0,0.0004347826086956,3.6988537549407114,,10.4,5.4,0.7707509881422925,11.81,42.92857142857143,41.20761904761904,9.0,0.8854560256532098,0.4647231720437686,0.0,
2021,6,2021-02-21,4,2021.0,10.0,235.0,2.0681818181818183,13.4,3.1804935770945035,0.4545454545454545,13.4,1.0,14.335714285714284,15.76,45.06142857142857,2.01,147.0,99.0,111.0,132.0,102.0,111.0,14.89966442575134,,48.0,36.0,,,0.0,3.463636363636364,0.2352173913043478,0.0,5.531818181818182,5.767470355731225,0.0,10.4,1.1818181818181817,13.78,43.021428571428565,43.67047619047619,10.0,0.9350162426854148,0.35460488704253557,0.0,
2021,7,2021-02-28,4,2021.0,11.0,285.0,0.1513636363636363,3.1,0.6599516248833298,0.0454545454545454,3.1,1.0,16.95,18.19,37.37,0.11,133.0,147.0,99.0,111.0,132.0,122.25,21.406774628607646,,-14.0,34.0,,,2.0681818181818183,0.0,3.463636363636364,0.2352173913043478,2.2195454545454547,5.918399209486166,13.4,0.0,0.4999999999999999,14.335714285714284,45.06142857142857,41.81761904761905,11.0,0.970941817426052,0.23931566428755804,0.0,
2021,8,2021-03-07,4,2021.0,12.0,292.0,3.358260869565217,8.51,2.7216332866563,0.7391304347826086,8.5,1.0,16.654285714285713,18.1,29.585714285714285,1.68,201.0,133.0,147.0,99.0,111.0,122.5,21.563858652847824,,68.0,54.0,,,0.1513636363636363,2.0681818181818183,0.0,3.463636363636364,5.5778063241106715,9.276660079051384,3.1,13.4,1.2391304347826084,16.95,37.37,37.33904761904761,12.0,0.992708874098054,0.120536680255323,0.0,
2021,9,2021-03-14,4,2021.0,13.0,343.0,3.6030434782608696,11.4,3.4879616798127095,1.0,10.8,1.0,18.307142857142857,19.3,35.83571428571428,2.79,193.0,201.0,133.0,147.0,99.0,145.0,42.42640687119285,125.375,-8.0,60.0,,,3.358260869565217,0.1513636363636363,2.0681818181818183,0.0,7.112667984189724,12.644486166007905,8.5,3.1,1.7845849802371538,16.654285714285713,29.585714285714285,34.26380952380952,13.0,1.0,-1.6081226496766366e-16,0.0,
2021,10,2021-03-21,4,2021.0,14.0,349.0,0.087391304347826,2.0,0.4169392520751058,0.0434782608695652,2.0,1.0,19.577142857142857,20.78,33.46142857142857,0.24,235.0,193.0,201.0,133.0,147.0,168.5,33.56088993655164,139.75,42.0,34.0,,,3.6030434782608696,3.358260869565217,0.1513636363636363,2.0681818181818183,7.048695652173913,9.268241106719367,10.8,8.5,1.7826086956521738,18.307142857142857,35.83571428571428,32.960952380952385,14.0,0.992708874098054,-0.12053668025532288,0.0,
2021,11,2021-03-28,4,2021.0,15.0,284.0,0.0447826086956521,1.0,0.2082801776719695,0.0,1.0,1.0,20.45285714285714,21.47,28.965714285714284,0.0,285.0,235.0,193.0,201.0,133.0,190.5,42.43819034784589,156.375,50.0,92.0,,,0.087391304347826,3.6030434782608696,3.358260869565217,0.1513636363636363,3.7352173913043476,9.313023715415019,2.0,10.8,1.0434782608695652,19.577142857142857,33.46142857142857,32.754285714285714,15.0,0.9709418174260521,-0.2393156642875575,0.0,
2021,12,2021-04-04,4,2021.0,16.0,238.0,11.16304347826087,34.5,9.122055407728023,1.0434782608695652,32.6,1.0,20.562857142857144,22.48,25.98,8.83,292.0,285.0,235.0,193.0,201.0,228.5,41.83698523236747,175.5,7.0,57.0,,,0.0447826086956521,0.087391304347826,3.6030434782608696,3.358260869565217,11.295217391304348,18.407885375494068,1.0,2.0,1.0869565217391304,20.45285714285714,28.965714285714284,29.46904761904762,16.0,0.9350162426854148,-0.35460488704253545,0.0,
2021,13,2021-04-11,4,2021.0,17.0,230.0,2.9039130434782607,12.4,3.906201059772473,0.5217391304347826,11.8,1.0,22.337142857142855,23.2,20.181428571428572,0.37,343.0,292.0,285.0,235.0,193.0,251.25,46.392348507054486,198.125,51.0,58.0,,,11.16304347826087,0.0447826086956521,0.087391304347826,3.6030434782608696,14.111739130434781,21.160434782608693,32.6,1.0,1.5652173913043477,20.562857142857144,25.98,25.042380952380952,17.0,0.8854560256532099,-0.4647231720437685,0.0,
2021,14,2021-04-18,4,2021.0,18.0,79.0,21.46695652173913,67.1,16.423820958037144,1.9565217391304348,66.5,1.0,23.177142857142854,24.4,28.564285714285713,14.94,349.0,343.0,292.0,285.0,235.0,288.75,44.18427322023075,228.625,6.0,57.0,,,2.9039130434782607,11.16304347826087,0.0447826086956521,0.087391304347826,35.53391304347826,39.26913043478261,11.8,32.6,3.5217391304347827,22.337142857142855,20.181428571428572,24.90857142857143,18.0,0.8229838658936565,-0.5680647467311557,0.0,
